OpenCTD,,,,,,,,Commercial CTD,,,,
Raw Data,,,,,Processed Data,,,Raw Data,,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,,Depth (m),Temp C,,Depth (m),Temp C,,Depth (m),Temp Temp C
6.56,6.81,6.56,3852.3,,28.84,5.74,,3.021,11.7242,,3.02,11.72
6.56,6.81,6.56,3853.3,,28.85,5.74,,3.032,11.7229,,3.03,11.72
6.56,6.81,6.56,3851.7,,28.83,5.74,,3.032,11.7204,,3.03,11.72
6.5,6.81,6.56,3852.9,,28.85,5.72,,3.052,11.7214,,3.05,11.72
6.5,6.81,6.56,3849.6,,28.81,5.72,,3.052,11.7224,,3.05,11.72
6.56,6.81,6.63,3851.3,,28.83,5.77,,3.063,11.7231,,3.06,11.72
6.5,6.81,6.56,3852,,28.84,5.72,,3.063,11.7234,,3.06,11.72
6.56,6.81,6.56,3852.8,,28.84,5.74,,3.082,11.7216,,3.08,11.72
6.56,6.81,6.63,3852.8,,28.84,5.77,,3.093,11.7191,,3.09,11.72
6.56,6.81,6.56,3850.7,,28.82,5.74,,3.112,11.7175,,3.11,11.72
6.5,6.75,6.56,3852.9,,28.85,5.7,,3.112,11.7177,,3.11,11.72
6.5,6.81,6.56,3851.8,,28.83,5.72,,3.133,11.7184,,3.13,11.72
6.56,6.75,6.56,3851.7,,28.83,5.72,,3.133,11.7183,,3.13,11.72
6.5,6.81,6.63,3851.8,,28.83,5.75,,3.142,11.7182,,3.14,11.72
6.56,6.81,6.56,3850.7,,28.82,5.74,,3.152,11.7177,,3.15,11.72
6.56,6.75,6.56,3850.6,,28.82,5.72,,3.163,11.7176,,3.16,11.72
6.56,6.81,6.63,3851.6,,28.83,5.77,,3.172,11.7176,,3.17,11.72
6.56,6.81,6.63,3851.3,,28.83,5.77,,3.182,11.7176,,3.18,11.72
6.56,6.75,6.56,3849.9,,28.81,5.72,,3.193,11.7175,,3.19,11.72
6.56,6.75,6.56,3852.3,,28.84,5.72,,3.203,11.7174,,3.2,11.72
6.56,6.75,6.63,3852.4,,28.84,5.75,,3.203,11.7171,,3.2,11.72
6.56,6.75,6.56,3851.2,,28.83,5.72,,3.222,11.7167,,3.22,11.72
6.56,6.81,6.56,3850.2,,28.82,5.74,,3.233,11.7165,,3.23,11.72
6.56,6.81,6.63,3851.7,,28.83,5.77,,3.233,11.7157,,3.23,11.72
6.56,6.81,6.63,3852.7,,28.84,5.77,,3.252,11.7156,,3.25,11.72
6.56,6.75,6.63,3850.5,,28.82,5.75,,3.252,11.7156,,3.25,11.72
6.56,6.75,6.63,3850.3,,28.82,5.75,,3.263,11.7157,,3.26,11.72
6.56,6.81,6.63,3852.4,,28.84,5.77,,3.263,11.7152,,3.26,11.72
6.56,6.81,6.63,3851.8,,28.83,5.77,,3.282,11.7146,,3.28,11.71
6.56,6.81,6.63,3851.4,,28.83,5.77,,3.293,11.7144,,3.29,11.71
6.56,6.75,6.63,3851.2,,28.83,5.75,,3.303,11.7128,,3.3,11.71
6.56,6.75,6.63,3852.4,,28.84,5.75,,3.313,11.7122,,3.31,11.71
6.56,6.81,6.63,3851.4,,28.83,5.77,,3.324,11.7121,,3.32,11.71
6.56,6.81,6.69,3849.9,,28.81,5.79,,3.333,11.7126,,3.33,11.71
6.56,6.81,6.63,3853.5,,28.85,5.77,,3.343,11.7132,,3.34,11.71
6.56,6.75,6.63,3853.6,,28.85,5.75,,3.353,11.7134,,3.35,11.71
6.56,6.75,6.63,3854,,28.86,5.75,,3.373,11.7136,,3.37,11.71
,,,,,,,,3.373,11.7134,,3.37,11.71
,,,,,,,,3.394,11.7123,,3.39,11.71
,,,,,,,,3.394,11.7114,,3.39,11.71
,,,,,,,,3.403,11.7111,,3.4,11.71
,,,,,,,,3.424,11.7114,,3.42,11.71
,,,,,,,,3.424,11.7122,,3.42,11.71
,,,,,,,,3.443,11.7107,,3.44,11.71
,,,,,,,,3.443,11.7091,,3.44,11.71
,,,,,,,,3.454,11.7067,,3.45,11.71
,,,,,,,,3.474,11.7013,,3.47,11.7
,,,,,,,,3.474,11.6987,,3.47,11.7
,,,,,,,,3.483,11.6994,,3.48,11.7
,,,,,,,,3.504,11.7006,,3.5,11.7
,,,,,,,,3.504,11.7007,,3.5,11.7
,,,,,,,,3.524,11.7004,,3.52,11.7
,,,,,,,,3.524,11.7006,,3.52,11.7
,,,,,,,,3.544,11.7009,,3.54,11.7
,,,,,,,,3.555,11.6996,,3.56,11.7
,,,,,,,,3.555,11.6975,,3.56,11.7
,,,,,,,,3.564,11.6966,,3.56,11.7
,,,,,,,,3.574,11.6962,,3.57,11.7
,,,,,,,,3.595,11.6957,,3.6,11.7
,,,,,,,,3.585,11.6959,,3.59,11.7
,,,,,,,,3.604,11.6962,,3.6,11.7
,,,,,,,,3.614,11.6965,,3.61,11.7
,,,,,,,,3.614,11.6969,,3.61,11.7
