OpenCTD,,,,,,Commercial CTD,,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C,
13.38,13.13,13.94,1087.8,0.66,12.88,0.598,12.5002,0.6,12.5,
13.38,13.13,13.94,1094.4,0.73,12.88,0.588,12.5005,0.59,12.5,
13.38,13.13,13.94,1084.4,0.62,12.88,0.588,12.5007,0.59,12.5,
13.38,13.13,13.94,1090,0.68,12.88,0.587,12.5002,0.59,12.5,
13.38,13.13,13.94,1091.1,0.69,12.88,0.588,12.4985,0.59,12.5,
13.38,13.13,13.88,1087.7,0.66,12.86,0.577,12.4979,0.58,12.5,
13.38,13.13,13.94,1086.6,0.65,12.88,0.579,12.4981,0.58,12.5,
13.38,13.13,13.94,1091.1,0.69,12.88,0.577,12.4978,0.58,12.5,
13.38,13.13,13.94,1087.8,0.66,12.88,0.569,12.4965,0.57,12.5,
13.38,13.13,13.88,1090,0.68,12.86,0.577,12.4974,0.58,12.5,
13.38,13.13,13.88,1088.9,0.67,12.86,0.579,12.4987,0.58,12.5,
13.38,13.13,13.88,1086.6,0.65,12.86,0.568,12.4993,0.57,12.5,
13.38,13.13,13.88,1094.4,0.73,12.86,0.588,12.4997,0.59,12.5,
13.38,13.13,13.88,1084.4,0.62,12.86,0.577,12.5003,0.58,12.5,
13.38,13.13,13.88,1086.6,0.65,12.86,0.588,12.5005,0.59,12.5,
13.38,13.13,13.88,1098.8,0.77,12.86,0.598,12.5007,0.6,12.5,
13.31,13.13,13.88,1077.7,0.56,12.84,0.599,12.5012,0.6,12.5,
13.31,13.13,13.81,1093.3,0.71,12.82,0.598,12.5017,0.6,12.5,
13.31,13.13,13.81,1088.8,0.67,12.82,0.609,12.5013,0.61,12.5,
13.31,13.06,13.88,1089.9,0.68,12.82,0.617,12.5009,0.62,12.5,
13.31,13.06,13.88,1088.8,0.67,12.82,0.618,12.5008,0.62,12.5,
13.31,13.13,13.88,1089.9,0.68,12.84,0.617,12.5007,0.62,12.5,
13.31,13.13,13.88,1092.2,0.7,12.84,0.629,12.5013,0.63,12.5,
13.31,13.06,13.88,1078.8,0.57,12.82,0.627,12.5024,0.63,12.5,
13.31,13.13,13.88,1097.7,0.76,12.84,0.639,12.5029,0.64,12.5,
13.31,13.13,13.88,1087.7,0.66,12.84,0.639,12.5032,0.64,12.5,
13.31,13.06,13.88,1086.6,0.65,12.82,0.638,12.5023,0.64,12.5,
13.38,13.06,13.81,1096.6,0.75,12.82,0.639,12.5024,0.64,12.5,
13.31,13.06,13.88,1081,0.59,12.82,0.638,12.5032,0.64,12.5,
13.38,13.06,13.88,1088.8,0.67,12.84,0.649,12.5032,0.65,12.5,
13.38,13.06,13.88,1095.5,0.74,12.84,0.638,12.5036,0.64,12.5,
13.38,13.06,13.88,1087.7,0.66,12.84,0.649,12.5038,0.65,12.5,
13.38,13.06,13.88,1087.7,0.66,12.84,0.647,12.5035,0.65,12.5,
13.38,13.06,13.88,1087.7,0.66,12.84,0.639,12.5035,0.64,12.5,
13.38,13.06,13.88,1094.4,0.73,12.84,0.647,12.5029,0.65,12.5,
13.38,13.06,13.88,1087.7,0.66,12.84,0.639,12.5025,0.64,12.5,
13.38,13.06,13.88,1081,0.59,12.84,0.647,12.5025,0.65,12.5,
13.31,13.06,13.88,1098.8,0.77,12.82,0.639,12.5027,0.64,12.5,
13.31,13.06,13.81,1084.3,0.62,12.79,0.638,12.5026,0.64,12.5,
13.38,13.06,13.81,1092.1,0.7,12.82,0.639,12.5023,0.64,12.5,
13.31,13.06,13.81,1089.9,0.68,12.79,0.638,12.5027,0.64,12.5,
13.31,13.13,13.81,1085.4,0.63,12.82,0.639,12.5026,0.64,12.5,
13.31,13.06,13.81,1097.6,0.76,12.79,0.638,12.5027,0.64,12.5,
13.31,13.06,13.81,1085.4,0.63,12.79,0.629,12.5025,0.63,12.5,
13.31,13.06,13.88,1085.4,0.63,12.82,0.629,12.5025,0.63,12.5,
13.38,13.13,13.81,1092.1,0.7,12.84,0.627,12.5023,0.63,12.5,
13.38,13.06,13.81,1092.1,0.7,12.82,0.618,12.5023,0.62,12.5,
13.38,13.06,13.88,1084.3,0.62,12.84,0.627,12.5018,0.63,12.5,
13.38,13.06,13.88,1086.5,0.65,12.84,0.618,12.5018,0.62,12.5,
13.38,13.06,13.88,1094.3,0.72,12.84,0.607,12.5019,0.61,12.5,
13.38,13.06,13.88,1084.3,0.62,12.84,0.609,12.502,0.61,12.5,
13.38,13.06,13.88,1087.6,0.66,12.84,0.598,12.5032,0.6,12.5,
13.38,13.06,13.88,1089.8,0.68,12.84,0.599,12.5038,0.6,12.5,
13.38,13.13,13.88,1087.5,0.66,12.86,0.577,12.5037,0.58,12.5,
13.38,13.06,13.81,1093.1,0.71,12.82,0.579,12.5037,0.58,12.5,
13.38,13.06,13.88,1086.5,0.65,12.84,0.587,12.5037,0.59,12.5,
13.38,13.13,13.88,1088.7,0.67,12.86,0.569,12.5034,0.57,12.5,
13.31,13.13,13.88,1095.4,0.74,12.84,0.577,12.5032,0.58,12.5,
13.38,13.06,13.88,1080.9,0.59,12.84,0.559,12.5032,0.56,12.5,
13.38,13.13,13.88,1096.5,0.75,12.86,0.568,12.5032,0.57,12.5,
13.38,13.06,13.88,1086.5,0.65,12.84,0.569,12.5034,0.57,12.5,
13.31,13.06,13.88,1080.9,0.59,12.82,0.568,12.5035,0.57,12.5,
13.31,13.06,13.81,1102,0.8,12.79,0.559,12.503,0.56,12.5,
13.31,13.06,13.81,1075.3,0.53,12.79,0.577,12.5029,0.58,12.5,
13.31,13.06,13.81,1094.2,0.72,12.79,0.569,12.5032,0.57,12.5,
13.31,13.06,13.75,1094.2,0.72,12.77,0.577,12.5033,0.58,12.5,
13.31,13.06,13.75,1079.8,0.58,12.77,0.579,12.5037,0.58,12.5,
13.25,13.06,13.75,1097.5,0.76,12.75,0.588,12.5032,0.59,12.5,
13.25,13.06,13.75,1085.3,0.63,12.75,0.598,12.504,0.6,12.5,
13.25,13.06,13.75,1086.4,0.64,12.75,0.599,12.505,0.6,12.51,
13.25,13.06,13.75,1094.2,0.72,12.75,0.607,12.5057,0.61,12.51,
13.25,13.06,13.75,1087.5,0.66,12.75,0.609,12.5065,0.61,12.51,
13.25,13.06,13.75,1088.7,0.67,12.75,0.627,12.5074,0.63,12.51,
13.25,13.06,13.75,1093.1,0.71,12.75,0.618,12.5077,0.62,12.51,
13.25,13.06,13.75,1080.9,0.59,12.75,0.627,12.5077,0.63,12.51,
13.25,13.06,13.75,1097.5,0.76,12.75,0.639,12.5078,0.64,12.51,
13.25,13.06,13.75,1087.5,0.66,12.75,0.638,12.5075,0.64,12.51,
13.25,13,13.69,1078.6,0.56,12.71,0.639,12.5069,0.64,12.51,
13.25,13,13.75,1100.9,0.79,12.73,0.647,12.5055,0.65,12.51,
13.25,13.06,13.69,1083.1,0.61,12.73,0.639,12.5055,0.64,12.51,
13.25,13,13.75,1088.6,0.67,12.73,0.647,12.5052,0.65,12.51,
